QF1 Loss,QF2 Loss,Policy Loss,Q1 Predictions Mean,Q1 Predictions Std,Q1 Predictions Max,Q1 Predictions Min,Q2 Predictions Mean,Q2 Predictions Std,Q2 Predictions Max,Q2 Predictions Min,Q Targets Mean,Q Targets Std,Q Targets Max,Q Targets Min,Bellman Errors 1 Mean,Bellman Errors 1 Std,Bellman Errors 1 Max,Bellman Errors 1 Min,Bellman Errors 2 Mean,Bellman Errors 2 Std,Bellman Errors 2 Max,Bellman Errors 2 Min,Policy Action Mean,Policy Action Std,Policy Action Max,Policy Action Min,Test Rewards Mean,Test Rewards Std,Test Rewards Max,Test Rewards Min,Test Returns Mean,Test Returns Std,Test Returns Max,Test Returns Min,Test Actions Mean,Test Actions Std,Test Actions Max,Test Actions Min,Num Paths,Exploration Rewards Mean,Exploration Rewards Std,Exploration Rewards Max,Exploration Rewards Min,Exploration Returns Mean,Exploration Returns Std,Exploration Returns Max,Exploration Returns Min,Exploration Actions Mean,Exploration Actions Std,Exploration Actions Max,Exploration Actions Min,touch_distance Mean,touch_distance Std,touch_distance Max,touch_distance Min,Final touch_distance Mean,Final touch_distance Std,Final touch_distance Max,Final touch_distance Min,hand_success Mean,hand_success Std,hand_success Max,hand_success Min,Final hand_success Mean,Final hand_success Std,Final hand_success Max,Final hand_success Min,obj_success Mean,obj_success Std,obj_success Max,obj_success Min,Final obj_success Mean,Final obj_success Std,Final obj_success Max,Final obj_success Min,hand_and_obj_success Mean,hand_and_obj_success Std,hand_and_obj_success Max,hand_and_obj_success Min,Final hand_and_obj_success Mean,Final hand_and_obj_success Std,Final hand_and_obj_success Max,Final hand_and_obj_success Min,touch_success Mean,touch_success Std,touch_success Max,touch_success Min,Final touch_success Mean,Final touch_success Std,Final touch_success Max,Final touch_success Min,hand_distance Mean,hand_distance Std,hand_distance Max,hand_distance Min,Final hand_distance Mean,Final hand_distance Std,Final hand_distance Max,Final hand_distance Min,obj_distance Mean,obj_distance Std,obj_distance Max,obj_distance Min,Final obj_distance Mean,Final obj_distance Std,Final obj_distance Max,Final obj_distance Min,hand_and_obj_distance Mean,hand_and_obj_distance Std,hand_and_obj_distance Max,hand_and_obj_distance Min,Final hand_and_obj_distance Mean,Final hand_and_obj_distance Std,Final hand_and_obj_distance Max,Final hand_and_obj_distance Min,total_pickups Mean,total_pickups Std,total_pickups Max,total_pickups Min,Final total_pickups Mean,Final total_pickups Std,Final total_pickups Max,Final total_pickups Min,image_dist Mean,image_dist Std,image_dist Max,image_dist Min,Final image_dist Mean,Final image_dist Std,Final image_dist Max,Final image_dist Min,image_success Mean,image_success Std,image_success Max,image_success Min,Final image_success Mean,Final image_success Std,Final image_success Max,Final image_success Min,vae_dist Mean,vae_dist Std,vae_dist Max,vae_dist Min,Final vae_dist Mean,Final vae_dist Std,Final vae_dist Max,Final vae_dist Min,AverageReturn,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
47.840385,47.844322,0.021971792,0.0015282541,0.0015908021,0.0056398716,-0.0024746256,0.0020473937,0.0012732784,0.0054326463,-0.0005782427,-6.4005647,2.6178443,0.0042100623,-10.429856,47.840385,27.804153,108.851105,3.6222396e-08,47.844315,27.80117,108.80614,2.81366e-09,0.00055598473,0.0028024472,0.0072762365,-0.007089715,-6.9305615,1.2650623,-3.6013668,-8.95206,-693.0562,90.423615,-542.88855,-829.1801,-0.0025740364,0.03308312,0.04648101,-0.05530129,10,-7.8043500580267855,1.0841078140245588,-5.206543619420493,-10.852476920062761,-780.4350058026787,84.65409882365732,-687.1253971853273,-980.4987532186927,-0.025412609188940342,0.38359843659633686,1.0,-1.0,0.21999123623405464,0.046949683471899005,0.3230914767541275,0.11372502758805995,0.21926952084808196,0.06007244104129789,0.3230914767541275,0.11372502758805995,0.02181818181818182,0.1460895231025503,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18071580260623651,0.053102695644475714,0.2873394705430599,0.0543173907745604,0.19171668137302705,0.0493584326540511,0.2873394705430599,0.10700245993958667,0.21723422029301043,0.08883204379375426,0.38355707645916753,0.10597808765512837,0.21723420400593768,0.08883203943320965,0.38355470999987323,0.10597808765512837,0.39795002289924697,0.10245196309820971,0.5951617082616715,0.23878116690694462,0.40895088537896473,0.10017814459823657,0.5951617082616715,0.26930326767983204,0.0,0.0,0,0,0.0,0.0,0,0,23.10940432560384,3.7286278766453815,29.162784318972523,13.172065089850461,23.686006650374154,1.3552524651649172,25.762885302914025,20.883625110839557,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,6.9305615,1.2650623,8.95206,3.6013668,7.5605955,0.7786766,8.95206,6.6300516,-693.0562,4,4000,40,0.027277143788523972,0.06091859005391598,2.8282654301729053,2.9164611640153453,25.53094945754856,3
36.756466,36.57025,0.2205855,-0.14445905,0.024737127,-0.094169065,-0.19897276,-0.15799674,0.027919564,-0.11247362,-0.2483128,-5.513336,2.8039353,0.00030678086,-11.015773,36.756462,26.268215,117.75707,0.00494086,36.570255,26.129984,117.680855,0.005035831,-0.0011856917,0.030740269,0.0543352,-0.062141757,-3.7983923,1.8156176,-0.9997634,-8.41972,-379.83926,156.73148,-179.4403,-746.7313,0.10752386,0.4140554,1.0,-1.0,10,-6.264014080881256,0.8197640051358276,-4.597584448061205,-8.734414839662126,-626.4014080881254,67.94111206752007,-494.7787475448786,-760.8157964384064,-0.06678040261556328,0.7031210270281032,1.0,-1.0,0.24630947030499004,0.07459437539268428,0.43858421215193094,0.09254620075470789,0.28959979922823414,0.09324067231402791,0.43858421215193094,0.1581295503380565,0.21818181818181817,0.4130115160582017,1.0,0.0,0.36363636363636365,0.48104569292083466,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09897172970911898,0.048086149157515974,0.290802375750696,0.011360511719675741,0.11944848388489925,0.07541390055666569,0.290802375750696,0.04117137177783156,0.2324291860327162,0.08760144643143897,0.39832981481086654,0.14600136206743158,0.23242917134383775,0.08760144688052324,0.39832902224827543,0.14600136206743158,0.3314009157418352,0.10375640059963154,0.6150072735978557,0.15736187378710734,0.351877655228737,0.09086942557369317,0.46628336662242237,0.20137623515750064,0.0,0.0,0,0,0.0,0.0,0,0,12.75141502736562,4.493501661141296,27.633899524351484,3.7176387854627886,16.56425736628633,3.6620597288965597,22.56078499538177,9.576910590331808,-0.6945454545454546,0.46059968097655307,0.0,-1.0,-0.9090909090909091,0.28747978728803447,0.0,-1.0,3.7983923,1.8156176,8.41972,0.9997634,4.840118,1.6828653,7.580282,1.6450546,-379.83926,4004,5000,50,9.475005177315325,2.995190915069543,3.1060068984515965,15.576202990836464,41.0194523492828,4
2.385078,2.4490113,39.91267,-42.00954,23.061918,-1.05116,-79.69093,-41.954475,23.212776,-0.582028,-79.821014,-42.312027,23.042643,-0.7918971,-80.49604,2.385078,3.561581,26.986515,6.8131785e-06,2.4490113,4.0299478,24.46872,0.0006756541,0.071770005,0.87650144,1.0,-1.0,-2.8783386,1.1268717,-0.7035403,-7.2202597,-287.8339,86.17645,-145.93393,-484.53534,0.08948223,0.5407951,1.0,-1.0,10,-6.241786372688532,0.9716200235166916,-4.263172285618671,-8.506264340712052,-624.1786372688531,82.42649039607943,-485.87693449999824,-741.2811776402166,0.09365154453851761,0.6374083508081696,1.0,-1.0,0.2459250933858665,0.06650395183918573,0.3600692446941088,0.08717743617493845,0.280838834035619,0.057059116132052855,0.3600692446941088,0.17498682801444812,0.2827272727272727,0.45032495154440544,1.0,0.0,0.2727272727272727,0.4453617714151233,1.0,0.0,0.09090909090909091,0.28747978728803447,1.0,0.0,0.09090909090909091,0.2874797872880344,1.0,0.0,0.017272727272727273,0.130285763478936,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10387610947199537,0.0680894723790576,0.2977186353609419,0.005864127552098824,0.13654111060418817,0.0973805501693199,0.2977186353609419,0.007519985618895428,0.1870753108390625,0.0780273313517208,0.2963530179604466,0.01762483635471162,0.18708600499560085,0.07801501596396306,0.29635039727672335,0.01762483635471516,0.2909514203110578,0.07483907494824955,0.5285215535178475,0.04347656177060601,0.323627115599789,0.08265484878307859,0.5285215535178475,0.19522172041099287,0.0,0.0,0,0,0.0,0.0,0,0,11.08685257435885,3.399959092722626,27.29290790647896,4.8150746881238184,13.489596615573697,4.037247052751379,19.766610163476777,6.718167854084015,-0.519090909090909,0.49963540426002906,0.0,-1.0,-0.7272727272727273,0.4453617714151233,0.0,-1.0,2.8783386,1.1268716,7.2202597,0.7035403,3.7403824,1.0433148,5.209222,1.702116,-287.8339,8004,6000,60,9.565033428603783,2.9063222010154277,3.1070929686538875,15.578448598273098,56.54183680564165,5
13.34636,13.80109,64.33911,-68.03564,42.952084,-2.6928177,-147.22801,-68.132195,43.07555,-2.3843853,-148.41193,-67.60357,43.307865,-2.2083044,-144.64761,13.346361,83.752365,946.8867,0.00025037886,13.80109,86.9099,977.4628,1.3748417e-05,0.027125016,0.8441571,1.0,-1.0,-2.6811929,0.89958155,-0.90737903,-6.916469,-268.11932,78.42017,-169.38109,-418.9299,-0.024871679,0.50695866,1.0,-1.0,10,-5.837284192105209,1.0022221785297083,-3.603892505653987,-8.73973217774631,-583.728419210521,81.8461032226241,-428.3919778654632,-715.8892750983199,0.011963499682541538,0.6697627780031714,1.0,-1.0,0.2641616138205467,0.09210646045345706,0.41879773536520865,0.07112315013188687,0.2677940341953226,0.09586584682698947,0.41833562611473235,0.09840825368411663,0.3009090909090909,0.45865325673907015,1.0,0.0,0.18181818181818182,0.38569460791993493,1.0,0.0,0.09090909090909091,0.28747978728803447,1.0,0.0,0.09090909090909091,0.2874797872880344,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09665685842844164,0.0667830802374116,0.24016081012496107,0.006078112288078977,0.10097115939537846,0.06652044267590361,0.236768047027695,0.009523640180805716,0.22080603781626706,0.07587938405719755,0.29396057971711803,0.015370799309075063,0.22058590413394086,0.07644066061495723,0.2939578439956191,0.015567502641324203,0.3174628962447087,0.09563659580204746,0.49249303372510717,0.0670263913723308,0.32155706352931934,0.09253056596850624,0.4313200533682541,0.08695335614573213,0.0,0.0,0,0,0.0,0.0,0,0,10.615397480643242,3.0088830637329536,24.034897094734543,3.839285785175903,11.407587501045857,3.142064451924382,15.616564712689073,4.903195138707309,-0.5463636363636364,0.49784577252713563,0.0,-1.0,-0.6363636363636364,0.48104569292083466,0.0,-1.0,2.681193,0.8995816,6.916469,0.90737903,2.8589468,0.9653157,4.388891,1.4862384,-268.11932,12004,7000,70,9.613719895249233,2.8500798050081357,3.089950364548713,15.553750064806081,72.20523108623456,6
6.1452656,4.9066086,90.01325,-92.263374,60.288208,-1.7387483,-194.04546,-92.3716,60.523144,-1.3597203,-195.4451,-92.340355,60.808247,-1.3531733,-196.53786,6.1452656,10.519938,91.03717,0.00085272803,4.9066086,9.492215,70.76333,4.286443e-05,0.070420146,0.81819236,1.0,-1.0,-3.431209,1.3354428,-1.6655492,-8.654575,-343.12088,98.8996,-222.81757,-530.2715,0.032984763,0.5853288,1.0,-1.0,10,-6.2152683161627,0.9144496329231362,-4.224502268472171,-8.8954407337656,-621.5268316162699,72.5382913951618,-525.5661530036348,-768.797238942156,0.029622186089283055,0.6364298139175902,1.0,-1.0,0.22308556509593835,0.0838270697580477,0.48469203574600406,0.05258373650963189,0.1984920068625211,0.07207991356228702,0.2861315144310162,0.05258373650963189,0.16,0.36660605559646714,1.0,0.0,0.36363636363636365,0.48104569292083466,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008181818181818182,0.09008260671771133,1.0,0.0,0.09090909090909091,0.2874797872880344,1.0,0.0,0.12793085333859716,0.06982204805612297,0.3295461085755577,0.00876387215842705,0.1299450935336876,0.07904137875096248,0.28402982650097225,0.03922678719690113,0.18321774844157898,0.06574384092264474,0.31807340194576195,0.1094900463678045,0.1832177365301232,0.065743841591957,0.31807149491986947,0.1094900463678045,0.31114860178017617,0.10176957479323928,0.4979293593437297,0.14307960001813683,0.3131628300638108,0.1017193397356405,0.49272229717601246,0.16478960619794175,0.0,0.0,0,0,0.0,0.0,0,0,13.07320305772154,3.2771153615391153,27.31315146561209,7.178240433214251,13.887145929398987,2.521789201983141,18.23660463349049,10.65811003397636,-0.8636363636363636,0.3431742925123068,0.0,-1.0,-1.0,0.0,-1.0,-1.0,3.431209,1.3354428,8.654575,1.6655492,3.5995638,0.9583668,5.3325577,2.0332408,-343.12088,16004,8000,80,9.845703205093741,2.9599212679313496,3.169201532844454,15.974826005869545,88.10309838119429,7
9.524081,8.331424,110.02232,-114.10577,74.82888,-6.8806844,-253.7107,-114.07771,74.93724,-5.2700067,-252.80551,-114.00247,75.19918,-5.8582625,-253.98013,9.52408,15.124654,100.9354,9.928108e-05,8.331425,13.444991,73.27199,2.9012794e-05,-0.025577543,0.8041138,1.0,-1.0,-3.4890826,1.2230082,-1.0633723,-6.621467,-348.90823,104.66521,-208.16707,-576.0006,0.20875098,0.5538004,1.0,-1.0,10,-6.164987943179511,0.9623805527182411,-4.22121239947146,-9.699348176945035,-616.4987943179511,87.34460369727502,-487.0210269507754,-783.5655170836872,-0.041662953165979386,0.5723108341428425,1.0,-1.0,0.24808796230591296,0.1087791722594401,0.48477581244669976,0.06930681394107116,0.2458745065763962,0.09399746950981809,0.4173419486264988,0.09549117797150902,0.3481818181818182,0.4763939962566925,1.0,0.0,0.36363636363636365,0.48104569292083466,1.0,0.0,0.06181818181818182,0.24082502821525018,1.0,0.0,0.09090909090909091,0.2874797872880344,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10024704195169816,0.05784029767667805,0.23642475416988096,0.008809801345819273,0.121437908474626,0.0705227192614373,0.22941299409228685,0.03173211496521588,0.24602344024689263,0.10010115651854333,0.4424267142910872,0.055088715710811566,0.24580195335772137,0.10051660078269978,0.44242509181350775,0.055088715710811566,0.34627048219859075,0.11558723483760737,0.6601023201330544,0.10416695060003558,0.36723986183234736,0.12340356253113273,0.5451463587772067,0.18290065891564714,0.0,0.0,0,0,0.0,0.0,0,0,12.902183407405305,3.001545886330996,26.50249493162715,5.852859394442925,14.57276415381361,1.9575510296487666,17.86194182563563,11.764926141728997,-0.8245454545454546,0.3803554231687571,0.0,-1.0,-1.0,0.0,-1.0,-1.0,3.4890826,1.2230082,6.6214666,1.0633723,4.2497644,1.0448205,6.1050773,2.2187772,-348.90823,20004,9000,90,10.299966161255725,2.883182360092178,3.2496533191297203,16.432801840477623,104.6912037805887,8
9.806534,10.328385,134.91183,-137.70831,91.02274,-7.877461,-299.28488,-137.54068,91.22272,-8.344857,-296.1556,-137.94182,91.429375,-9.064706,-300.06055,9.806534,29.563486,288.7176,0.0019151308,10.328384,25.039227,197.85649,4.1071326e-05,0.0047852304,0.78795487,1.0,-1.0,-3.8014693,1.5274701,-1.5349829,-7.8793893,-380.14688,132.08495,-242.83127,-707.57404,0.14863609,0.6261404,1.0,-1.0,10,-6.285078819304365,0.8363694725191956,-4.49072959664758,-9.124322546816497,-628.5078819304365,62.018005562046355,-564.6078142015343,-776.5906752424648,-0.011116415157408827,0.6820189029917255,1.0,-1.0,0.2390039802445393,0.10369129070398124,0.5005297651725189,0.0621598505352144,0.2314843576824889,0.10878045303075652,0.5005297651725189,0.06872967387390548,0.15272727272727274,0.35972441242229025,1.0,0.0,0.18181818181818182,0.38569460791993493,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1380041103462999,0.06739860316111844,0.29534682317474364,0.010618648054284547,0.1358126426337782,0.07768865904697632,0.29534682317474364,0.03164228120878906,0.21334875735436443,0.09961593011445619,0.44447363618796204,0.0827602365172897,0.21334874170220583,0.09961592842245626,0.44447183390880546,0.0827602365172897,0.35135286770066426,0.10910420813810073,0.6128635883097618,0.11057409201396756,0.34916138433598404,0.1245098197725334,0.5713827412335997,0.11440251772607876,0.0,0.0,0,0,0.0,0.0,0,0,15.007832661999332,4.102027676081397,27.157322003620028,7.039730168538318,16.970593773221733,3.2188163115827266,24.667217799884284,12.458571099789888,-0.9281818181818182,0.2581866196736624,0.0,-1.0,-1.0,0.0,-1.0,-1.0,3.8014688,1.5274701,7.8793893,1.534983,4.4656425,1.2806215,7.4416103,2.8737001,-380.14688,24004,10000,100,9.983364529791288,3.0378566139843315,3.1381544864270836,16.159375630202703,120.69797546288464,9
13.804577,9.208894,155.14691,-158.47939,107.139915,-9.075565,-358.41876,-157.40297,106.221695,-8.516507,-359.4284,-157.57043,105.82926,-7.2443433,-358.88428,13.804577,26.318277,193.99028,0.00013171043,9.208894,16.971395,125.63175,0.003084913,-0.07140583,0.8038565,1.0,-1.0,-3.3049338,1.2343682,-0.8177428,-7.598598,-330.49335,97.3768,-195.77081,-604.76385,0.16078585,0.615369,1.0,-1.0,10,-6.399735509396092,0.7317416694176115,-4.019021590024256,-8.415834380670107,-639.973550939609,54.86244253526494,-501.74640852144194,-698.3519042315847,-0.06146754839674932,0.6765379831362052,1.0,-1.0,0.23641006687110633,0.07257471163915467,0.4133378865324569,0.08602833764496955,0.23029911486458196,0.08232613011286782,0.40431148952078627,0.10748680818599064,0.16090909090909092,0.3674470783281598,1.0,0.0,0.18181818181818182,0.38569460791993493,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10755402868884537,0.04555319973727854,0.22207712805569524,0.01251303493392665,0.11484379145539222,0.04942004982433282,0.1843175372423626,0.025270858415761824,0.24040084169994888,0.08089322520489191,0.4347326870460738,0.12531984357998452,0.2404008214098882,0.08089322586803183,0.43473063760063385,0.12531984357998452,0.34795487038879425,0.093695546499459,0.6379546347683572,0.14299270917155715,0.3552446128652804,0.0971883699852166,0.5517918447314063,0.17263741821763928,0.0,0.0,0,0,0.0,0.0,0,0,11.519719861348346,3.0712563388324234,24.588926718864688,5.913092232178646,13.981650474702962,3.385775364502022,19.461562981409127,8.782406130409045,-0.67,0.4702127178203499,0.0,-1.0,-0.9090909090909091,0.28747978728803447,0.0,-1.0,3.3049338,1.2343682,7.598598,0.8177428,4.399027,1.51394,7.465095,2.3329136,-330.49335,28004,11000,110,9.794683382264338,2.8856241420144215,3.222613457008265,15.902920981287025,136.6453455281444,10
12.019657,9.7344,175.98007,-178.28687,117.92182,-16.180208,-368.75873,-178.51187,117.88915,-16.443094,-367.61243,-179.41614,118.32741,-15.89114,-370.27148,12.019657,19.719711,98.81245,0.030075142,9.7344,14.213979,83.09751,0.000113761285,0.004989244,0.8481148,1.0,-1.0,-3.3290443,0.95261014,-1.3064063,-7.3189783,-332.9045,75.27827,-231.56267,-496.16763,0.14203177,0.60689026,1.0,-1.0,10,-6.277564969222347,0.918450097749039,-3.9498969182397787,-8.291749631859554,-627.7564969222346,81.03963838536409,-482.5920089755038,-759.4676863688499,-0.10107028712695465,0.6556658691564856,1.0,-1.0,0.22660695421396124,0.06423577861499817,0.33888174601062343,0.07012479728715557,0.23535634894208612,0.061247989131860726,0.2898052216582935,0.0892613596270659,0.09727272727272727,0.2963287765331826,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13040071273626938,0.06606356801954687,0.32234771207697455,0.0314927762640066,0.1408749518612841,0.06435498827188853,0.277076034275927,0.06720660974361434,0.2102192566501955,0.06134296495104898,0.3227529955748286,0.09700593647803486,0.21016132452046232,0.06144889652660791,0.32275009807488286,0.09700593647803486,0.3406199693864649,0.08389874426263956,0.5462550581929518,0.1668997951824882,0.35103627638174634,0.08414474083134563,0.4663889984259203,0.16792873770508837,0.0,0.0,0,0,0.0,0.0,0,0,11.731687014897487,2.3865799999400994,27.97337312514281,5.769237914407192,12.880902347087044,1.8446571939726857,15.957174038858529,9.738852300803748,-0.7454545454545455,0.4356054018440341,0.0,-1.0,-0.9090909090909091,0.28747978728803447,0.0,-1.0,3.3290443,0.95261014,7.3189783,1.3064064,3.7954454,0.73350143,5.116833,2.2270107,-332.9045,32004,12000,120,9.800339179812,2.9297804191010073,3.1596847613109276,15.889804360223934,152.54250047926325,11
14.416571,14.243432,191.71986,-196.35263,125.16893,-16.816692,-419.9777,-195.96957,125.67503,-17.498304,-421.9146,-194.8306,124.97619,-18.762226,-423.1774,14.416569,26.494347,177.93881,0.00019196048,14.243431,27.524677,184.861,0.0088988375,0.07058359,0.8347396,1.0,-1.0,-3.7456636,1.5575055,-0.6010301,-8.042934,-374.56638,142.52907,-86.75361,-686.19006,0.06352961,0.48907068,1.0,-1.0,10,-5.91966208369587,0.8351682649790984,-4.186452859692561,-7.5640211206210735,-591.9662083695871,74.70769694312335,-441.20531359138045,-695.3747058414156,0.07416634239396748,0.6119473967382325,1.0,-1.0,0.20746405722390915,0.08309282142696972,0.3970659770745261,0.06924529909178617,0.21802956527062156,0.09387454377398095,0.38789925986551416,0.10558050149277468,0.19545454545454546,0.396550206298903,1.0,0.0,0.2727272727272727,0.4453617714151233,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11566987927781595,0.05612269215107901,0.26093090832194327,0.016257618634201314,0.11394520043991375,0.06738970388420765,0.24816131922055049,0.02504228222018813,0.1854697631068737,0.06834929477590866,0.3039282699661234,0.08116879004738571,0.1858268634092462,0.06840240534420285,0.3039258772987414,0.08116879004738571,0.30113964238468965,0.0647566436092804,0.5173012983473427,0.14949481912397183,0.29977206384916,0.059317380220386115,0.397479551222209,0.17607041625522094,0.0,0.0,0,0,0.0,0.0,0,0,12.976281114625635,4.285400198477245,27.565250399805883,4.060776266075475,12.932125445624338,4.26195723976431,18.634550556235865,4.486358493660633,-0.7318181818181818,0.44301278827874985,0.0,-1.0,-0.7272727272727273,0.4453617714151233,0.0,-1.0,3.7456636,1.5575055,8.042934,0.6010301,3.8378005,1.4453228,6.9195843,0.7958268,-374.56638,36004,13000,130,9.55274331534747,2.937264008913189,3.0982603000011295,15.588267624261789,168.11723475554027,12
